s,z,e2,x,mloc,it_t_min,cur_t_min,rem_t_min
1,1,2.03371e-11,1,12,0.000166667,0.000166667,0.0348333
2,13893,2.03451e-10,1.13126,16,0.000166667,0.000333333,0.023
3,21245,2.15784e-09,1.26516,16,0.000333333,0.000666667,0.0226667
4,30021,1.55549e-08,1.2443,16,0.000166667,0.000833333,0.0166667
5,25863,8.93878e-08,1.24033,14,0.000333333,0.00116667,0.0151667
6,26199,3.59117e-07,1.14546,12,0.000166667,0.00133333,0.012
7,14365,1.15888e-06,1.12121,16,0.000333333,0.00166667,0.0108333
8,29759,3.41269e-06,1.09955,16,0.000333333,0.002,0.00966667
9,23159,8.76729e-06,1.06836,15,0.000166667,0.00216667,0.00794444
10,32223,2.17005e-05,1.04477,16,0.000333333,0.0025,0.00704545
11,4557,5.15842e-05,1.0234,16,0.0005,0.003,0.00654545
12,7225,0.000118932,1.01863,15,0.000333333,0.00333333,0.00564103
13,11169,0.00028247,1.00943,16,0.000333333,0.00366667,0.00479487
14,24405,0.00068186,1.00577,15,0.000333333,0.004,0.004
15,6971,0.00172803,1.00317,15,0.0005,0.0045,0.003375
16,983,0.00464579,1.00129,15,0.000333333,0.00483333,0.0026299
17,22779,0.0134083,1.00063,16,0.000333333,0.00516667,0.00192484
18,27041,0.0416786,1.00021,13,0.000333333,0.00566667,0.0012924
19,1297,0.139611,1.00008,16,0.0005,0.00616667,0.000649123
20,26777,0.502826,1.00003,15,0.000333333,0.0065,0
