s,z,e2,x,mloc,it_t_min,cur_t_min,rem_t_min
1,1,3.05471e-16,1,10,0.0816667,0.0816667,17.0683
2,5073439,6.29829e-15,1.38115,24,0.0796667,0.161333,11.132
3,2743973,1.40051e-13,1.6702,14,0.0825,0.243833,8.29033
4,6424719,1.7528e-12,1.5634,24,0.0965,0.340333,6.80667
5,8091171,1.52789e-11,1.49715,21,0.0966667,0.437,5.681
6,303909,1.05447e-10,1.41961,15,0.0896667,0.526667,4.74
7,648527,4.93726e-10,1.33646,16,0.0921667,0.618833,4.02242
8,2546983,2.19954e-09,1.23162,18,0.0998333,0.718667,3.47356
9,6379483,8.25755e-09,1.17286,17,0.0986667,0.817333,2.99689
10,7987983,2.85518e-08,1.11599,14,0.100333,0.917667,2.58615
11,7478919,8.98527e-08,1.0845,24,0.104,1.02167,2.22909
12,2014617,2.58138e-07,1.05674,19,0.113167,1.13483,1.92049
13,6664609,7.37986e-07,1.03526,19,0.110167,1.245,1.62808
14,2968367,2.07769e-06,1.02268,24,0.109833,1.35483,1.35483
15,3628087,5.82286e-06,1.01298,24,0.128333,1.48317,1.11238
16,6989057,1.6749e-05,1.00629,24,0.137333,1.6205,0.881743
17,5532641,5.03053e-05,1.0027,22,0.129,1.7495,0.651775
18,1825663,0.000159932,1.00129,21,0.125,1.8745,0.427518
19,4098991,0.00054133,1.00047,22,0.139667,2.01417,0.212018
20,4142341,0.00195888,1.00017,24,0.1355,2.14967,0
